name,smiles,cls,series,series_index,n_carbons,molecular_weight,formula,n_tokens,n_tokens_final,multiword,canonical_smiles
niacin,OC(=O)c1cccnc1,aromatic,,,6,123.11099999999998,C6H5NO2,2,2,False,O=C(O)c1cccnc1
melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,aromatic,,,13,232.28299999999996,C13H16N2O2,2,2,False,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
tyrosine,NC(Cc1ccc(O)cc1)C(O)=O,aromatic,,,9,181.19099999999997,C9H11NO3,3,3,False,NC(Cc1ccc(O)cc1)C(=O)O
histidine,NC(Cc1c[nH]cn1)C(O)=O,aromatic,,,6,155.15699999999998,C6H9N3O2,2,2,False,NC(Cc1c[nH]cn1)C(=O)O
anisole,COc1ccccc1,aromatic,,,7,108.13999999999997,C7H8O,3,3,False,COc1ccccc1
veratrole,COc1ccccc1OC,aromatic,,,8,138.16599999999997,C8H10O2,3,3,False,COc1ccccc1OC
phenetole,CCOc1ccccc1,aromatic,,,8,122.16699999999996,C8H10O,3,3,False,CCOc1ccccc1
stilbene,c1ccc(/C=C/c2ccccc2)cc1,aromatic,,,14,180.24999999999997,C14H12,3,3,False,C(=C\c1ccccc1)/c1ccccc1
fluorene,c1ccc2c(c1)Cc1ccccc1-2,aromatic,,,13,166.22299999999998,C13H10,3,3,False,c1ccc2c(c1)Cc1ccccc1-2
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,aromatic,,,16,202.25599999999997,C16H10,2,2,False,c1cc2ccc3cccc4ccc(c1)c2c34
indene,C1C=Cc2ccccc21,aromatic,,,9,116.16299999999995,C9H8,2,2,False,C1=Cc2ccccc2C1
tetralin,c1ccc2c(c1)CCCC2,aromatic,,,10,132.206,C10H12,3,3,False,c1ccc2c(c1)CCCC2
benzofuran,c1ccc2occc2c1,aromatic,,,8,118.13499999999996,C8H6O,3,3,False,c1ccc2occc2c1
carbazole,c1ccc2c(c1)[nH]c1ccccc12,aromatic,,,12,167.21099999999998,C12H9N,2,2,False,c1ccc2c(c1)[nH]c1ccccc12
acridine,c1ccc2nc3ccccc3cc2c1,aromatic,,,13,179.22199999999998,C13H9N,3,3,False,c1ccc2nc3ccccc3cc2c1
xanthene,C1c2ccccc2Oc2ccccc21,aromatic,,,13,182.222,C13H10O,3,3,False,c1ccc2c(c1)Cc1ccccc1O2
coumarin,O=c1ccc2ccccc2o1,aromatic,,,9,146.14499999999998,C9H6O2,3,3,False,O=c1ccc2ccccc2o1
chromone,O=c1ccoc2ccccc12,aromatic,,,9,146.14499999999998,C9H6O2,2,2,False,O=c1ccoc2ccccc12
flavone,O=c1cc(-c2ccccc2)oc2ccccc12,aromatic,,,15,222.243,C15H10O2,2,2,False,O=c1cc(-c2ccccc2)oc2ccccc12
isatin,O=C1Nc2ccccc2C1=O,aromatic,,,8,147.13299999999995,C8H5NO2,2,2,False,O=C1Nc2ccccc2C1=O
oxindole,O=C1Cc2ccccc2N1,aromatic,,,8,133.14999999999998,C8H7NO,3,3,False,O=C1Cc2ccccc2N1
indoline,C1Cc2ccccc2N1,aromatic,,,8,119.16699999999997,C8H9N,2,2,False,c1ccc2c(c1)CCN2
styrene oxide,C1OC1c1ccccc1,aromatic,,,8,120.15099999999995,C8H8O,3,1,True,c1ccc(C2CO2)cc1
benzamide,NC(=O)c1ccccc1,aromatic,,,7,121.13899999999995,C7H7NO,2,2,False,NC(=O)c1ccccc1
chloroform,ClC(Cl)Cl,halide,,,1,119.37800000000001,CHCl3,3,3,False,ClC(Cl)Cl
vinyl chloride,C=CCl,halide,,,2,62.498999999999995,C2H3Cl,2,1,True,C=CCl
allyl chloride,C=CCCl,halide,,,3,76.526,C3H5Cl,3,1,True,C=CCCl
benzyl chloride,ClCc1ccccc1,halide,,,7,126.58599999999996,C7H7Cl,3,1,True,ClCc1ccccc1
methylene chloride,ClCCl,halide,,,1,84.93299999999999,CH2Cl2,3,1,True,ClCCl
bromoform,BrC(Br)Br,halide,,,1,252.731,CHBr3,3,3,False,BrC(Br)Br
iodoform,IC(I)I,halide,,,1,393.731,CHI3,3,3,False,IC(I)I
halothane,FC(F)(F)C(Cl)Br,halide,,,2,197.381,C2HBrClF3,3,3,False,FC(F)(F)C(Cl)Br
oxalic acid,OC(=O)C(O)=O,carboxylic_acid,,,2,90.03399999999999,C2H2O4,3,1,True,O=C(O)C(=O)O
malonic acid,OC(=O)CC(O)=O,carboxylic_acid,,,3,104.06099999999999,C3H4O4,3,1,True,O=C(O)CC(=O)O
succinic acid,OC(=O)CCC(O)=O,carboxylic_acid,,,4,118.088,C4H6O4,3,1,True,O=C(O)CCC(=O)O
glutaric acid,OC(=O)CCCC(O)=O,carboxylic_acid,,,5,132.115,C5H8O4,4,1,True,O=C(O)CCCC(=O)O
adipic acid,OC(=O)CCCCC(O)=O,carboxylic_acid,,,6,146.14200000000002,C6H10O4,3,1,True,O=C(O)CCCCC(=O)O
lactic acid,CC(O)C(O)=O,carboxylic_acid,,,3,90.07799999999999,C3H6O3,3,1,True,CC(O)C(=O)O
citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,carboxylic_acid,,,6,192.123,C6H8O7,3,1,True,O=C(O)CC(O)(CC(=O)O)C(=O)O
malic acid,OC(=O)CC(O)C(O)=O,carboxylic_acid,,,4,134.087,C4H6O5,3,1,True,O=C(O)CC(O)C(=O)O
tartaric acid,OC(=O)C(O)C(O)C(O)=O,carboxylic_acid,,,4,150.08599999999998,C4H6O6,4,1,True,O=C(O)C(O)C(O)C(=O)O
acrylic acid,C=CC(O)=O,carboxylic_acid,,,3,72.063,C3H4O2,2,1,True,C=CC(=O)O
oleic acid,CCCCCCCCC=CCCCCCCCC(O)=O,carboxylic_acid,,,18,282.4679999999999,C18H34O2,3,1,True,CCCCCCCCC=CCCCCCCCC(=O)O
